region,zone,woreda,ADM3_PCODE
Amhara,West Gondar,Quara,ET031214
Amhara,West Gondar,Midre Genet,ET031223
Amhara,West Gondar,Metema Yohanes town,ET031224
Amhara,West Gondar,Gendawuha town,ET031292
Oromia,West Wellega,Mana Sibu,ET040101
Oromia,West Wellega,Nejo,ET040102
Oromia,West Wellega,Gimbi,ET040103
Oromia,West Wellega,Lalo Asabi,ET040104
Oromia,West Wellega,Kiltu Kara,ET040105
Oromia,West Wellega,Boji Dirmeji,ET040106
Oromia,West Wellega,Ayira,ET040107
Oromia,West Wellega,Jarso (West Wellega),ET040108
Oromia,West Wellega,Gudetu Kondole,ET040109
Oromia,West Wellega,Boji Chekorsa,ET040110
Oromia,West Wellega,Babo,ET040111
Oromia,West Wellega,Yubdo,ET040112
Oromia,West Wellega,Gaji,ET040113
Oromia,West Wellega,Haru,ET040114
Oromia,West Wellega,Nole Kaba,ET040115
Oromia,West Wellega,Begi,ET040116
Oromia,West Wellega,Homa,ET040117
Oromia,West Wellega,Sayo Nole,ET040118
Oromia,West Wellega,Guliso,ET040119
Oromia,West Wellega,Gimbi town,ET040193
Oromia,West Wellega,Leta Sibu,ET040197
Oromia,West Wellega,Mendi town,ET040198
Oromia,West Wellega,Nejo town,ET040199
Oromia,East Wellega,Limu (OR),ET040201
Oromia,East Wellega,Ibantu,ET040202
Oromia,East Wellega,Gida Ayana,ET040203
Oromia,East Wellega,Haro Limu,ET040204
Oromia,East Wellega,Boneya Boshe,ET040205
Oromia,East Wellega,Wayu Tuka,ET040206
Oromia,East Wellega,Bila Seyo,ET040207
Oromia,East Wellega,Gobu Seyo,ET040208
Oromia,East Wellega,Sibu Sire,ET040209
Oromia,East Wellega,Diga,ET040210
Oromia,East Wellega,Sasiga,ET040211
Oromia,East Wellega,Leka Dulecha,ET040212
Oromia,East Wellega,Guto Gida,ET040213
Oromia,East Wellega,Jimma Arjo,ET040214
Oromia,East Wellega,Nunu Kumba,ET040215
Oromia,East Wellega,Wama Hagalo,ET040216
Oromia,East Wellega,Kiremu,ET040217
Oromia,East Wellega,Nekemte town,ET040297
Oromia,Ilu Aba Bora,Darimu,ET040301
Oromia,Ilu Aba Bora,Alge Sachi,ET040302
Oromia,Ilu Aba Bora,Yayu,ET040309
Oromia,Ilu Aba Bora,Metu Zuria,ET040310
Oromia,Ilu Aba Bora,Ale,ET040311
Oromia,Ilu Aba Bora,Bure (OR),ET040312
Oromia,Ilu Aba Bora,Sale Nono,ET040313
Oromia,Ilu Aba Bora,Becho (Ilu Aba Bora),ET040314
Oromia,Ilu Aba Bora,Bilo Nopha,ET040315
