region,zone,woreda,adm3_pcode,adm3_en,adm1_en,adm2_en,score,method,needs_review
Addis Ababa,Lemi kura,3,ET140111,Lemi Kura,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Lemi kura,4,ET140111,Lemi Kura,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Lemi kura,5,ET140111,Lemi Kura,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Lemi kura,6,ET140111,Lemi Kura,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Lemi kura,8,ET140111,Lemi Kura,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Lemi kura,9,ET140111,Lemi Kura,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Lideta,1,ET140105,Lideta,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Lideta,10,ET140105,Lideta,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Lideta,2,ET140105,Lideta,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Lideta,3,ET140105,Lideta,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Lideta,4,ET140105,Lideta,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Lideta,5,ET140105,Lideta,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Lideta,6,ET140105,Lideta,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Lideta,7,ET140105,Lideta,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Lideta,8,ET140105,Lideta,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Lideta,9,ET140105,Lideta,Addis Ababa,Region 14,1,addis_subcity,FALSE
Addis Ababa,Nefas Silk Lafto,13,ET140102,Nifas Silk Lafto,Addis Ababa,Region 14,0.938,addis_subcity,FALSE
Addis Ababa,Nefas silk,1,ET140102,Nifas Silk Lafto,Addis Ababa,Region 14,0.562,addis_subcity,FALSE
