region,period,indicator,group,label,value_type,n_woreda,n_reported,n_pairs,num_sum,denom_sum,pct_reported,value_pct,value_pct_capped
Harari,2025-Wk03-15,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,9,9,9,117,117,100,100,100
Harari,2025-Wk16-27,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,9,9,9,59,59,100,100,100
Harari,2025-Wk28-52,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,1,1,1,9,9,100,100,100
Oromia,2025-Wk03-15,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,444,439,437,1375,1554,98.9,88.48133848133848,88.48133848133848
Oromia,2025-Wk16-27,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,430,426,424,1346,1523,99.1,88.37820091923834,88.37820091923834
Oromia,2025-Wk28-52,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,8,8,8,44,45,100,97.77777777777777,97.77777777777777
Sidama,2025-Wk03-15,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,38,38,38,488,494,100,98.78542510121457,98.78542510121457
Sidama,2025-Wk16-27,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,38,38,38,444,456,100,97.36842105263158,97.36842105263158
Sidama,2025-Wk28-52,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,38,38,38,969,988,100,98.07692307692308,98.07692307692308
Somali,2025-Wk03-15,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,118,118,117,137,195,100,70.25641025641026,70.25641025641026
Somali,2025-Wk16-27,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,118,118,117,137,195,100,70.25641025641026,70.25641025641026
Somali,2025-Wk28-52,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,118,118,117,141,202,100,69.8019801980198,69.8019801980198
South Ethiopia,2025-Wk03-15,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,96,96,96,1224,1248,100,98.07692307692308,98.07692307692308
South Ethiopia,2025-Wk16-27,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,96,96,96,1224,1248,100,98.07692307692308,98.07692307692308
South Ethiopia,2025-Wk28-52,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,96,96,96,2488,2496,100,99.67948717948718,99.67948717948718
Tigray,2025-Wk03-15,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,84,12,11,31,36,14.3,86.11111111111111,86.11111111111111
Addis Ababa,2025-Wk03-15,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,11,11,11,120,120,100,100,100
