adm3_pcode,adm3_en,ref_region,population_best
ET040119,Guliso,Oromia,107790.07397712249
ET040193,Gimbi town,Oromia,54612.12594449465
ET040197,Leta Sibu,Oromia,57665.96281387635
ET040198,Mendi town,Oromia,24692.637752684142
ET040199,Nejo town,Oromia,33488.749406626215
ET040201,Limu (OR),Oromia,110855.21483872598
ET040202,Ibantu,Oromia,56852.004701857506
ET040203,Gida Ayana,Oromia,161802.2579274442
ET040204,Haro Limu,Oromia,80464.76029464876
ET040205,Boneya Boshe,Oromia,73227.24475562052
ET040206,Wayu Tuka,Oromia,95727.36505247977
ET040207,Bila Seyo,Oromia,60245
ET040208,Gobu Seyo,Oromia,63316.15898351702
ET040209,Sibu Sire,Oromia,157428.0302958956
ET040210,Diga,Oromia,103118.3563264859
ET040211,Sasiga,Oromia,123082.62428419458
ET040212,Leka Dulecha,Oromia,110181.43998080198
ET040213,Guto Gida,Oromia,123517.9042320915
ET040214,Jimma Arjo,Oromia,133072.67340779485
ET040215,Nunu Kumba,Oromia,99343.29012333864
ET040216,Wama Hagalo,Oromia,74398.64760552972
ET040217,Kiremu,Oromia,84467.83853783854
ET040297,Nekemte town,Oromia,145299.01336936196
ET040301,Darimu,Oromia,220854.84255627866
ET040302,Alge Sachi,Oromia,117898.83581378557
ET040309,Yayu,Oromia,81948.13446598305
ET040310,Metu Zuria,Oromia,93869.67151563214
ET040311,Ale,Oromia,81289.33238267957
ET040312,Bure (OR),Oromia,78387.82255800045
ET040313,Sale Nono,Oromia,35131.47667927904
ET040314,Becho (Ilu Aba Bora),Oromia,115729.97828293087
ET040315,Bilo Nopha,Oromia,44149.364936446094
ET040316,Hurumu,Oromia,65765.77355289068
ET040317,Didu,Oromia,49740.62677331391
ET040319,Halu /Huka,Oromia,25994.875709049174
ET040320,Metu town,Oromia,52980.093510856495
ET040324,Dorani,Oromia,55614.232360168935
ET040401,Limu Seka,Oromia,164028.88493574792
ET040402,Limu Kosa,Oromia,243900.0816650827
ET040403,Sekoru,Oromia,209696.91701227674
ET040404,Tiro Afeta,Oromia,182497.8024301761
ET040405,Kersa (Jimma),Oromia,257362.3
ET040406,Mena (Jimma),Oromia,223323.21140086371
ET040407,Goma,Oromia,325925.21897197136
ET040408,Gera,Oromia,171471.4234060546
ET040409,Seka Chekorsa,Oromia,317037.80775078316
ET040410,Dedo,Oromia,242629.53479014026
ET040411,Omo Nada,Oromia,230059.89049620237
ET040412,Sigmo,Oromia,141232.83557598563
ET040413,Setema,Oromia,157567.06320308623
ET040414,Shebe Sambo,Oromia,171104.5904278515
ET040415,Chora (Jimma),Oromia,87439.93430001446
ET040416,Gumay,Oromia,92956.33226377961
ET040417,Agaro town,Oromia,44876.613989443445
ET040418,Jimma town,Oromia,213218.72749980653
ET040490,Mancho,Oromia,195853.517391692
ET040491,Omo Beyam,Oromia,148985.5243777176
ET040495,Botor Tolay,Oromia,69930.34386520194
ET040499,Nono Benja,Oromia,90271.50611344013
ET040500,Illu Galan,Oromia,94162.71010463402
ET040501,Ginde Beret,Oromia,161221.4896943979
ET040502,Jeldu,Oromia,235297.15316168475
ET040503,Ambo Zuria,Oromia,152658.13209535417
ET040504,Mida Kegn,Oromia,121090.17577576212
ET040505,Cheliya,Oromia,117617.56154769982
ET040506,Bako Tibe,Oromia,192068.96433207009
ET040507,Dano,Oromia,148842.2135349211
ET040508,Nono,Oromia,128528.43631046292
ET040509,Tikur Enchini,Oromia,109287.35143917582
ET040510,Dendi,Oromia,200114.34125513525
ET040511,Ejere /Addis Alem,Oromia,134211.67376285684
ET040513,Adda Berga,Oromia,209676.5968181489
ET040514,Meta Robi,Oromia,120970.39357879787
ET040515,Ambo town,Oromia,104078.9648390331
ET040516,Abuna Ginde Beret,Oromia,166238.43867617814
ET040517,Toke Kutaye,Oromia,140422.16677867385
ET040518,Jibat,Oromia,92623.72277042345
ET040519,Ifata,Oromia,87422.82255759099
ET040590,Ejersa Lafo,Oromia,67589.24360489138
ET040592,Cobi,Oromia,75411.44886021868
ET040594,Meta Walkite,Oromia,93098.57362267467
ET040597,Liban Jawi,Oromia,87932.96637859059
ET040601,Wara Jarso,Oromia,216889.91955865873
ET040602,Dera (OR),Oromia,276543.69062550325
ET040603,Hidabu Abote,Oromia,127332.25260554609
ET040604,Kuyu,Oromia,188333
ET040605,Degem,Oromia,151719.05596301114
ET040606,Gerar Jarso,Oromia,101988.21093855018
ET040607,Debre Libanos,Oromia,70670.42672501686
ET040608,Wuchale,Oromia,149362.7269889386
ET040609,Abichugna Gne'a,Oromia,113943.88434616177
ET040610,Kimbibit,Oromia,115461.11208498107
ET040613,Fiche town,Oromia,28345
ET040614,Yaya Gulele,Oromia,83966.9588329516
ET040615,Jida,Oromia,81300.26477508803
ET040617,Aleltu,Oromia,81883.96543189503
ET040701,Fentale,Oromia,92755.26929030386
ET040702,Boset,Oromia,221886.89452119396
ET040703,Adama,Oromia,220502.9823526961
ET040704,Lome (OR),Oromia,134910.04675051462
ET040705,Gimbichu,Oromia,133237.3739286207
ET040706,Ada'a,Oromia,209676.5968181489
ET040707,Dugda,Oromia,228535.87593661237
ET040708,Adama Tulu Jido Kombolcha,Oromia,235321.75129141845
ET040709,Bishoftu town,Oromia,183575.84220285452
ET040710,Bora (OR),Oromia,35208.24412982733
ET040714,Adama town,Oromia,425808.59846555063
