region,period,indicator,group,label,value_type,n_woreda,n_reported,n_pairs,num_sum,denom_sum,pct_reported,value_pct,value_pct_capped
NATIONAL,2025-Wk28-52,RISK_MAP,Preparedness,Districts conducting risk & resource mapping,proportion,696,475,348,229,356,68.2,64.32584269662921,64.32584269662921
NATIONAL,2025-Wk03-15,EPR_FUNDS,Preparedness,Districts with EPR funds / budget line,proportion,1198,891,330,6,439,74.4,1.366742596810934,1.366742596810934
NATIONAL,2025-Wk16-27,EPR_FUNDS,Preparedness,Districts with EPR funds / budget line,proportion,1127,823,372,24,372,73,6.451612903225806,6.451612903225806
NATIONAL,2025-Wk28-52,EPR_FUNDS,Preparedness,Districts with EPR funds / budget line,proportion,696,475,348,28,356,68.2,7.865168539325842,7.865168539325842
NATIONAL,2025-Wk03-15,CONTINGENCY,Preparedness,Districts with contingency stocks (3-6 months),proportion,1198,891,330,38,439,74.4,8.656036446469248,8.656036446469248
NATIONAL,2025-Wk16-27,CONTINGENCY,Preparedness,Districts with contingency stocks (3-6 months),proportion,1127,823,356,60,356,73,16.853932584269664,16.853932584269664
NATIONAL,2025-Wk28-52,CONTINGENCY,Preparedness,Districts with contingency stocks (3-6 months),proportion,696,475,348,64,356,68.2,17.97752808988764,17.97752808988764
NATIONAL,2025-Wk03-15,PHEM_OFFICER,Preparedness,Health facilities with PHEM officer,proportion,1198,972,962,304,4634,81.1,6.560207164436772,6.560207164436772
NATIONAL,2025-Wk16-27,PHEM_OFFICER,Preparedness,Health facilities with PHEM officer,proportion,1127,902,893,1132,5264,80,21.50455927051672,21.50455927051672
NATIONAL,2025-Wk28-52,PHEM_OFFICER,Preparedness,Health facilities with PHEM officer,proportion,696,475,471,1118,3794,68.2,29.467580390089616,29.467580390089616
NATIONAL,2025-Wk03-15,DHIS2_RPT,Preparedness,Districts reporting weekly via DHIS2,proportion,1198,972,516,468,1422,81.1,32.91139240506329,32.91139240506329
NATIONAL,2025-Wk16-27,DHIS2_RPT,Preparedness,Districts reporting weekly via DHIS2,proportion,1127,905,897,841,3754,80.3,22.402770378263185,22.402770378263185
NATIONAL,2025-Wk28-52,DHIS2_RPT,Preparedness,Districts reporting weekly via DHIS2,proportion,696,475,467,417,2239,68.2,18.6243858865565,18.6243858865565
NATIONAL,2025-Wk03-15,COORD_PLATFORM,Preparedness,Districts with functional coordination platform / RRT,proportion,1198,972,516,217,1422,81.1,15.260196905766525,15.260196905766525
NATIONAL,2025-Wk16-27,COORD_PLATFORM,Preparedness,Districts with functional coordination platform / RRT,proportion,1127,902,475,217,2227,80,9.744050291872474,9.744050291872474
NATIONAL,2025-Wk28-52,COORD_PLATFORM,Preparedness,Districts with functional coordination platform / RRT,proportion,696,475,467,222,2239,68.2,9.915140687807057,9.915140687807057
