adm3_pcode,adm3_en,ref_region,ref_zone,indicator,group,label,value_type,period,num_sum,denom_sum,n_records,value_pct,value_pct_capped
ET010106,Tselemti,Tigray,North Western,LINEGRAPH,Analysis,Current line graph available for priority diseases,proportion,2025-Wk28-52,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,NOTIFY_24H,Reporting,Suspected outbreaks notified within 24 hours,proportion,2025-Wk03-15,0,0,3,NA,NA
ET010106,Tselemti,Tigray,North Western,NOTIFY_24H,Reporting,Suspected outbreaks notified within 24 hours,proportion,2025-Wk16-27,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,NOTIFY_24H,Reporting,Suspected outbreaks notified within 24 hours,proportion,2025-Wk28-52,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,NOTIFY_30M,Reporting,Immediately reportable events notified within 30 minutes,proportion,2025-Wk03-15,0,0,3,NA,NA
ET010106,Tselemti,Tigray,North Western,NOTIFY_30M,Reporting,Immediately reportable events notified within 30 minutes,proportion,2025-Wk16-27,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,NOTIFY_30M,Reporting,Immediately reportable events notified within 30 minutes,proportion,2025-Wk28-52,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,OBR_ANALYZED,Analysis,Outbreak reports with analyzed case-based data,proportion,2025-Wk03-15,0,0,3,NA,NA
ET010106,Tselemti,Tigray,North Western,OBR_ANALYZED,Analysis,Outbreak reports with analyzed case-based data,proportion,2025-Wk16-27,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,OBR_ANALYZED,Analysis,Outbreak reports with analyzed case-based data,proportion,2025-Wk28-52,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,PHEM_OFFICER,Preparedness,Health facilities with PHEM officer,proportion,2025-Wk03-15,0,0,3,NA,NA
ET010106,Tselemti,Tigray,North Western,PHEM_OFFICER,Preparedness,Health facilities with PHEM officer,proportion,2025-Wk16-27,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,PHEM_OFFICER,Preparedness,Health facilities with PHEM officer,proportion,2025-Wk28-52,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,RESP_2448,Response,Confirmed outbreaks with response within 24-48 hours,proportion,2025-Wk03-15,0,0,3,NA,NA
ET010106,Tselemti,Tigray,North Western,RESP_2448,Response,Confirmed outbreaks with response within 24-48 hours,proportion,2025-Wk16-27,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,RESP_2448,Response,Confirmed outbreaks with response within 24-48 hours,proportion,2025-Wk28-52,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,RISK_MAP,Preparedness,Districts conducting risk & resource mapping,proportion,2025-Wk03-15,0,0,3,NA,NA
ET010106,Tselemti,Tigray,North Western,RISK_MAP,Preparedness,Districts conducting risk & resource mapping,proportion,2025-Wk16-27,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,RISK_MAP,Preparedness,Districts conducting risk & resource mapping,proportion,2025-Wk28-52,0,0,2,NA,NA
ET010106,Tselemti,Tigray,North Western,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,2025-Wk03-15,12.692307692307692,20,3,63.46153846153845,63.46153846153845
ET010106,Tselemti,Tigray,North Western,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,2025-Wk16-27,15.583333333333332,20,2,77.91666666666666,77.91666666666666
ET010106,Tselemti,Tigray,North Western,RPT_COMPLETE,Reporting,Surveillance reports submitted completely (completeness),proportion,2025-Wk28-52,14,22,2,63.63636363636363,63.63636363636363
ET010106,Tselemti,Tigray,North Western,RPT_TIMELY,Reporting,Surveillance reports submitted on time (timeliness),proportion,2025-Wk03-15,12.692307692307692,20,3,63.46153846153845,63.46153846153845
