region,indicator,label,value_pct,target,gap,status,pct_reported
Gambella,RESP_2448,Confirmed outbreaks with response within 24-48 hours,NA,80,NA,NA,100
Harari,RESP_2448,Confirmed outbreaks with response within 24-48 hours,NA,80,NA,NA,100
Oromia,RESP_2448,Confirmed outbreaks with response within 24-48 hours,NA,80,NA,NA,0
Sidama,RESP_2448,Confirmed outbreaks with response within 24-48 hours,50,80,-30,below target,100
Somali,RESP_2448,Confirmed outbreaks with response within 24-48 hours,NA,80,NA,NA,100
South Ethiopia,RESP_2448,Confirmed outbreaks with response within 24-48 hours,100,80,20,meets target,100
Benishangul Gumuz,EPI_DETECT_REG,Epidemics detected at regional level from district data,0,80,-80,below target,100
Dire Dawa,EPI_DETECT_REG,Epidemics detected at regional level from district data,100,80,20,meets target,100
Oromia,EPI_DETECT_REG,Epidemics detected at regional level from district data,NA,80,NA,NA,100
South Ethiopia,EPI_DETECT_REG,Epidemics detected at regional level from district data,66.66666666666667,80,-13.3,below target,100
Addis Ababa,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,100,80,20,meets target,100
Afar,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,100,80,20,meets target,100
Amhara,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,NA,80,NA,NA,100
Benishangul Gumuz,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,69.56521739130434,80,-10.4,below target,100
Dire Dawa,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,100,80,20,meets target,100
Gambella,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,64.28571428571429,80,-15.7,below target,100
Harari,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,100,80,20,meets target,100
Sidama,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,100,80,20,meets target,100
Somali,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,NA,80,NA,NA,100
South Ethiopia,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,100,80,20,meets target,100
Addis Ababa,RISK_MAP,Districts conducting risk & resource mapping,100,80,20,meets target,100
Afar,RISK_MAP,Districts conducting risk & resource mapping,0,80,-80,below target,100
Amhara,RISK_MAP,Districts conducting risk & resource mapping,NA,80,NA,NA,0
Benishangul Gumuz,RISK_MAP,Districts conducting risk & resource mapping,69.56521739130434,80,-10.4,below target,100
Dire Dawa,RISK_MAP,Districts conducting risk & resource mapping,100,80,20,meets target,100
Gambella,RISK_MAP,Districts conducting risk & resource mapping,64.28571428571429,80,-15.7,below target,100
Harari,RISK_MAP,Districts conducting risk & resource mapping,100,80,20,meets target,100
Oromia,RISK_MAP,Districts conducting risk & resource mapping,NA,80,NA,NA,100
Sidama,RISK_MAP,Districts conducting risk & resource mapping,100,80,20,meets target,100
Somali,RISK_MAP,Districts conducting risk & resource mapping,NA,80,NA,NA,100
South Ethiopia,RISK_MAP,Districts conducting risk & resource mapping,21.875,80,-58.1,below target,100
Addis Ababa,EPR_FUNDS,Districts with EPR funds / budget line,15.254237288135592,80,-64.7,below target,100
Afar,EPR_FUNDS,Districts with EPR funds / budget line,0,80,-80,below target,100
Amhara,EPR_FUNDS,Districts with EPR funds / budget line,NA,80,NA,NA,0
Benishangul Gumuz,EPR_FUNDS,Districts with EPR funds / budget line,0,80,-80,below target,100
Dire Dawa,EPR_FUNDS,Districts with EPR funds / budget line,5.555555555555555,80,-74.4,below target,100
Gambella,EPR_FUNDS,Districts with EPR funds / budget line,0,80,-80,below target,100
Harari,EPR_FUNDS,Districts with EPR funds / budget line,0,80,-80,below target,100
Oromia,EPR_FUNDS,Districts with EPR funds / budget line,NA,80,NA,NA,100
Sidama,EPR_FUNDS,Districts with EPR funds / budget line,23.68421052631579,80,-56.3,below target,100
