period,region,indicator,label,value_pct,pct_reported
2025-Wk16-27,Afar,NOTIFY_24H,Suspected outbreaks notified within 24 hours,75,100
2025-Wk16-27,Afar,NOTIFY_30M,Immediately reportable events notified within 30 minutes,0,100
2025-Wk16-27,Afar,LINEGRAPH,Current line graph available for priority diseases,0,100
2025-Wk16-27,Afar,OBR_ANALYZED,Outbreak reports with analyzed case-based data,12.5,100
2025-Wk16-27,Afar,LAB_7D,Outbreaks with laboratory results within 7 days,0,100
2025-Wk16-27,Afar,RESP_2448,Confirmed outbreaks with response within 24-48 hours,100,100
2025-Wk16-27,Afar,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,22.5,100
2025-Wk16-27,Afar,RISK_MAP,Districts conducting risk & resource mapping,5,100
2025-Wk16-27,Afar,EPR_FUNDS,Districts with EPR funds / budget line,0,100
2025-Wk16-27,Afar,CONTINGENCY,Districts with contingency stocks (3-6 months),0,100
2025-Wk16-27,Afar,PHEM_OFFICER,Health facilities with PHEM officer,0,100
2025-Wk16-27,Afar,DHIS2_RPT,Districts reporting weekly via DHIS2,9.456264775413713,100
2025-Wk16-27,Afar,COORD_PLATFORM,Districts with functional coordination platform / RRT,1.182033096926714,100
2025-Wk28-52,Afar,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),NA,100
2025-Wk28-52,Afar,EBS_DETECT,Outbreaks detected through event-based surveillance,NA,100
2025-Wk28-52,Afar,DETECT_7D,Outbreaks detected within 7 days,NA,100
2025-Wk28-52,Afar,RPT_TIMELY,Surveillance reports submitted on time (timeliness),85,100
2025-Wk28-52,Afar,RPT_COMPLETE,Surveillance reports submitted completely (completeness),100,100
2025-Wk28-52,Afar,CB_ELIM,Case-based reporting: elimination/eradication diseases,75.67567567567568,100
2025-Wk28-52,Afar,CB_EVENTS,Case-based reporting: selected events/conditions,75.67567567567568,100
2025-Wk28-52,Afar,NOTIFY_24H,Suspected outbreaks notified within 24 hours,NA,100
2025-Wk28-52,Afar,NOTIFY_30M,Immediately reportable events notified within 30 minutes,NA,100
2025-Wk28-52,Afar,LINEGRAPH,Current line graph available for priority diseases,45,100
2025-Wk28-52,Afar,OBR_ANALYZED,Outbreak reports with analyzed case-based data,0,100
2025-Wk28-52,Afar,LAB_7D,Outbreaks with laboratory results within 7 days,NA,100
2025-Wk28-52,Afar,RESP_2448,Confirmed outbreaks with response within 24-48 hours,NA,100
2025-Wk28-52,Afar,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,100,100
2025-Wk28-52,Afar,RISK_MAP,Districts conducting risk & resource mapping,0,100
2025-Wk28-52,Afar,EPR_FUNDS,Districts with EPR funds / budget line,0,100
2025-Wk28-52,Afar,CONTINGENCY,Districts with contingency stocks (3-6 months),0,100
2025-Wk28-52,Afar,PHEM_OFFICER,Health facilities with PHEM officer,0,100
2025-Wk28-52,Afar,DHIS2_RPT,Districts reporting weekly via DHIS2,7.723577235772358,100
2025-Wk28-52,Afar,COORD_PLATFORM,Districts with functional coordination platform / RRT,0,100
2025-Wk03-15,Amhara,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),NA,0
2025-Wk03-15,Amhara,EBS_DETECT,Outbreaks detected through event-based surveillance,NA,8.1
2025-Wk03-15,Amhara,DETECT_7D,Outbreaks detected within 7 days,100,8.1
2025-Wk03-15,Amhara,RPT_TIMELY,Surveillance reports submitted on time (timeliness),91.20421245421244,100
2025-Wk03-15,Amhara,RPT_COMPLETE,Surveillance reports submitted completely (completeness),91.40146693338184,100
2025-Wk03-15,Amhara,CB_ELIM,Case-based reporting: elimination/eradication diseases,21.15689381933439,100
2025-Wk03-15,Amhara,CB_EVENTS,Case-based reporting: selected events/conditions,71.36659436008676,100
2025-Wk03-15,Amhara,NOTIFY_24H,Suspected outbreaks notified within 24 hours,NA,0
2025-Wk03-15,Amhara,NOTIFY_30M,Immediately reportable events notified within 30 minutes,NA,0
2025-Wk03-15,Amhara,LINEGRAPH,Current line graph available for priority diseases,NA,0
2025-Wk03-15,Amhara,OBR_ANALYZED,Outbreak reports with analyzed case-based data,NA,0
2025-Wk03-15,Amhara,LAB_7D,Outbreaks with laboratory results within 7 days,NA,0
2025-Wk03-15,Amhara,RESP_2448,Confirmed outbreaks with response within 24-48 hours,NA,0
2025-Wk03-15,Amhara,EPRP_PLAN,Districts with EPRP (preparedness & response) plans,NA,100
2025-Wk03-15,Amhara,RISK_MAP,Districts conducting risk & resource mapping,NA,0
2025-Wk03-15,Amhara,EPR_FUNDS,Districts with EPR funds / budget line,NA,0
2025-Wk03-15,Amhara,CONTINGENCY,Districts with contingency stocks (3-6 months),NA,0
2025-Wk03-15,Amhara,PHEM_OFFICER,Health facilities with PHEM officer,NA,0
2025-Wk03-15,Amhara,DHIS2_RPT,Districts reporting weekly via DHIS2,NA,0
2025-Wk03-15,Amhara,COORD_PLATFORM,Districts with functional coordination platform / RRT,NA,0
2025-Wk16-27,Amhara,EBS_PPV,Confirmed outbreaks among suspected events (EBS sensitivity),NA,0
2025-Wk16-27,Amhara,EBS_DETECT,Outbreaks detected through event-based surveillance,NA,0
